customer_id,name,email,phone,address,birthdate
1,Andi Pratama,andi@example.com,081234567890,Jl. Mawar No. 21,1995-03-12
2,Budi Setiawan,budi@example.com,081298765432,Jl. Melati No. 14,1988-07-05
3,Citra Lestari,citra@example.com,082134567890,Jl. Kenanga No. 9,1999-11-23
10,Customer 10,customer10@example.com,08560767110,Alamat No. 10,1978-02-11
100,Customer 100,customer100@example.com,08398093643,Alamat No. 100,1979-02-28
11,Customer 11,customer11@example.com,08910015358,Alamat No. 11,1995-03-14
12,Customer 12,customer12@example.com,081036499,Alamat No. 12,1975-06-11
13,Customer 13,customer13@example.com,08708314206,Alamat No. 13,1979-06-23
14,Customer 14,customer14@example.com,08891962538,Alamat No. 14,1980-07-09
15,Customer 15,customer15@example.com,0875147249,Alamat No. 15,1972-05-13
16,Customer 16,customer16@example.com,08661231560,Alamat No. 16,1974-09-08
17,Customer 17,customer17@example.com,08341649772,Alamat No. 17,1994-01-21
18,Customer 18,customer18@example.com,08166264927,Alamat No. 18,1992-06-10
19,Customer 19,customer19@example.com,08904635437,Alamat No. 19,1977-04-23
20,Customer 20,customer20@example.com,08400017535,Alamat No. 20,2000-03-14
21,Customer 21,customer21@example.com,08939698604,Alamat No. 21,1995-09-05
22,Customer 22,customer22@example.com,08490344968,Alamat No. 22,1992-05-23
23,Customer 23,customer23@example.com,08819538902,Alamat No. 23,1983-11-02
24,Customer 24,customer24@example.com,08512379771,Alamat No. 24,1980-07-14
25,Customer 25,customer25@example.com,08401517869,Alamat No. 25,2009-09-30
26,Customer 26,customer26@example.com,0897547035,Alamat No. 26,1999-10-16
27,Customer 27,customer27@example.com,08751221920,Alamat No. 27,1974-01-27
28,Customer 28,customer28@example.com,08660522575,Alamat No. 28,1985-03-30
29,Customer 29,customer29@example.com,08954669410,Alamat No. 29,1980-07-14
30,Customer 30,customer30@example.com,08348435081,Alamat No. 30,1998-01-06
31,Customer 31,customer31@example.com,08328366015,Alamat No. 31,2002-02-09
32,Customer 32,customer32@example.com,08563706910,Alamat No. 32,2009-09-19
33,Customer 33,customer33@example.com,08605641724,Alamat No. 33,1977-07-16
34,Customer 34,customer34@example.com,08667080411,Alamat No. 34,1984-02-16
35,Customer 35,customer35@example.com,08490547849,Alamat No. 35,1980-08-06
36,Customer 36,customer36@example.com,08500440224,Alamat No. 36,1999-04-19
37,Customer 37,customer37@example.com,08386534958,Alamat No. 37,1994-06-08
38,Customer 38,customer38@example.com,08469047106,Alamat No. 38,1990-05-23
39,Customer 39,customer39@example.com,08375102203,Alamat No. 39,1991-12-21
4,Customer 4,customer4@example.com,08229364370,Alamat No. 4,1992-04-25
40,Customer 40,customer40@example.com,08126543924,Alamat No. 40,1991-07-05
41,Customer 41,customer41@example.com,08500167249,Alamat No. 41,1991-12-02
42,Customer 42,customer42@example.com,08988897192,Alamat No. 42,2010-03-04
43,Customer 43,customer43@example.com,08691177468,Alamat No. 43,1984-06-13
44,Customer 44,customer44@example.com,08912308099,Alamat No. 44,1980-04-27
45,Customer 45,customer45@example.com,08791162890,Alamat No. 45,1983-12-25
46,Customer 46,customer46@example.com,08720584832,Alamat No. 46,1999-03-16
47,Customer 47,customer47@example.com,08952652055,Alamat No. 47,2006-12-18
48,Customer 48,customer48@example.com,08852943546,Alamat No. 48,1983-11-29
49,Customer 49,customer49@example.com,08273237553,Alamat No. 49,2006-12-13
5,Customer 5,customer5@example.com,08537416065,Alamat No. 5,2009-11-02
50,Customer 50,customer50@example.com,08286805282,Alamat No. 50,1971-08-31
51,Customer 51,customer51@example.com,08827979434,Alamat No. 51,1990-05-07
52,Customer 52,customer52@example.com,08777831786,Alamat No. 52,1983-03-29
53,Customer 53,customer53@example.com,084615231,Alamat No. 53,1990-08-18
54,Customer 54,customer54@example.com,08677026581,Alamat No. 54,1979-07-25
55,Customer 55,customer55@example.com,0847458776,Alamat No. 55,1988-12-09
56,Customer 56,customer56@example.com,08433231466,Alamat No. 56,1981-07-22
57,Customer 57,customer57@example.com,08746044091,Alamat No. 57,1972-11-23
58,Customer 58,customer58@example.com,08505039361,Alamat No. 58,2003-12-17
59,Customer 59,customer59@example.com,08930498795,Alamat No. 59,1983-07-18
6,Customer 6,customer6@example.com,0871517228,Alamat No. 6,1996-10-30
60,Customer 60,customer60@example.com,08799438445,Alamat No. 60,1990-02-05
