order_detail_id,order_id,order_date,customer_id,customer_name,product_id,product_name,unit_price,quantity,subtotal,order_total,phone
60,18,2025-11-17 17:38:54.305091,70,Customer 70,74,Produk 74,22910.88,4,298506.76,442393.84,08724865974
83,18,2025-11-17 17:38:54.305091,70,Customer 70,43,Produk 43,17653.08,4,64905.08,442393.84,08724865974
70,51,2025-11-14 02:17:50.386263,90,Customer 90,48,Produk 48,55031.72,3,36372.33,279857.67,08404936105
94,23,2025-11-13 15:00:23.101162,66,Customer 66,69,Produk 69,38933.75,2,186451.54,66715.04,08166104174
77,23,2025-11-13 15:00:23.101162,66,Customer 66,85,Produk 85,52123.29,3,172658.01,66715.04,08166104174
32,73,2025-11-11 04:24:08.312806,71,Customer 71,86,Produk 86,19420.89,3,154891.86,325332.22,08439124638
34,73,2025-11-11 04:24:08.312806,71,Customer 71,34,Produk 34,46635.37,3,179451.27,325332.22,08439124638
90,6,2025-11-04 05:20:10.836240,20,Customer 20,24,Produk 24,81097.43,3,31431.99,277371.99,08400017535
71,6,2025-11-04 05:20:10.836240,20,Customer 20,73,Produk 73,35818.23,4,83298.24,277371.99,08400017535
80,75,2025-10-30 09:36:48.500914,14,Customer 14,38,Produk 38,84728.27,3,169516.65,390385.71,08891962538
9,77,2025-10-16 07:13:19.159107,37,Customer 37,32,Produk 32,14775.00,4,84246.08,301482.07,08386534958
104,77,2025-10-16 07:13:19.159107,37,Customer 37,83,Produk 83,15468.62,3,72315.84,301482.07,08386534958
102,77,2025-10-16 07:13:19.159107,37,Customer 37,50,Produk 50,44866.88,3,119780.70,301482.07,08386534958
12,27,2025-10-07 15:02:48.764866,25,Customer 25,51,Produk 51,53114.49,4,321934.64,75502.29,08401517869
69,27,2025-10-07 15:02:48.764866,25,Customer 25,97,Produk 97,15226.36,4,268417.28,75502.29,08401517869
48,8,2025-09-29 11:14:11.080616,55,Customer 55,24,Produk 24,81097.43,2,144900.36,207616.45,0847458776
13,88,2025-09-29 10:02:42.820949,34,Customer 34,53,Produk 53,43239.35,3,229275.00,119030.63,08667080411
52,88,2025-09-29 10:02:42.820949,34,Customer 34,98,Produk 98,11295.69,5,335408.80,119030.63,08667080411
26,63,2025-09-27 07:08:50.947831,91,Customer 91,40,Produk 40,33951.02,3,294145.71,540381.64,0820325041
100,68,2025-09-13 13:07:21.481673,16,Customer 16,28,Produk 28,81365.07,3,156391.95,419072.61,08661231560
15,68,2025-09-13 13:07:21.481673,16,Customer 16,38,Produk 38,84728.27,3,41801.07,419072.61,08661231560
98,86,2025-09-05 22:11:26.456203,89,Customer 89,4,Gula Aren,30000.00,2,119385.44,211064.31,08949749016
91,86,2025-09-05 22:11:26.456203,89,Customer 89,94,Produk 94,19428.78,3,37035.21,211064.31,08949749016
36,72,2025-09-05 00:38:18.593491,84,Customer 84,75,Produk 75,51275.72,2,188000.54,513667.75,08643416712
92,72,2025-09-05 00:38:18.593491,84,Customer 84,97,Produk 97,15226.36,1,43629.77,513667.75,08643416712
